title,link,address,deadline,salary
CTE Biotechnology/Biology Teacher - Hercules High - Starting School Year 2025-2026,https://www.edjoin.org/Home/JobPosting/2078272,"West Contra Costa Unified School District - Richmond, Contra Costa County, CA",Until Filled,"$58,572.72 - $119,756.51  Annually"
English Language Development ( ELD ) Teacher ( 2024-25 School Year),https://www.edjoin.org/Home/JobPosting/2035970,"Alliance College-Ready Public Schools - Los Angeles, Los Angeles County, CA",Until Filled,"$70,000 - $130,000  Annually"
Special Education Teacher (Co-Teaching) 2025-2026 School Year,https://www.edjoin.org/Home/JobPosting/2077654,"Birmingham Community Charter High School - Lake Balboa, Los Angeles County, CA",5/17/2025 04:00 am,Pay dependent on experience
Music Teacher (Elementary School) [Eligibility Pool],https://www.edjoin.org/Home/JobPosting/2077656,"Huntington Beach City School District - Huntington Beach, Orange County, CA",5/1/2025 11:55 am,"$58,666.00 - $102,388.00  Annually"
"Special Education Teacher, Secondary (2025-26 School Year)",https://www.edjoin.org/Home/JobPosting/2052396,"Synergy Academies - LOS ANGELES, Los Angeles County, CA",7/1/2025 11:55 am,"68,850 - 105,790  Annually"
Transitional Kindergarten (TK) Teacher (2025-26 School Year),https://www.edjoin.org/Home/JobPosting/2056525,"Synergy Academies - LOS ANGELES, Los Angeles County, CA",6/3/2025 11:55 am,"$68,860 - $105,790  Annually"
SDC Moderate/Severe Teacher 1.0 FTE (#7898),https://www.edjoin.org/Home/JobPosting/2077710,"Livermore Valley Joint Unified School District - Livermore, Alameda County, CA",Until Filled,Pay dependent on experience
Elementary School Teacher's Assistant,https://www.edjoin.org/Home/JobPosting/2005895,"AIMS K12 College Prep Charter District - Oakland, Alameda County, CA",Until Filled,"$49,342.00 - 52,369.80   Annually"
High School Special Education Teacher,https://www.edjoin.org/Home/JobPosting/1883798,"AIMS K12 College Prep Charter District - Oakland, Alameda County, CA",Until Filled,61882.00 - 68189.00  Annually
"Elementary Teacher - 4th Grade, American Lakes School",https://www.edjoin.org/Home/JobPosting/2077745,"Natomas Unified School District - Sacramento, Sacramento County, CA",Until Filled,"$56,265 - $121,338  Annually"
"Math/Science Teacher - Aspire Public Schools (Stockton, Modesto, Sacramento)",https://www.edjoin.org/Home/JobPosting/1888041,"Aspire Public Schools - San Joaquin County - Stockton, San Joaquin County, CA",Until Filled,Pay dependent on experience
Long Term Substitute Teacher $240/day (applicant pool 25-26 SY),https://www.edjoin.org/Home/JobPosting/2007802,"REAL Journey Academies (K-12 Public Charter Schools) - Ontario, San Bernardino County, CA",Continuous,$240  Daily
P.E. Teacher -Natomas High School 2025-2026,https://www.edjoin.org/Home/JobPosting/2031921,"Natomas Unified School District - Sacramento, Sacramento County, CA",Until Filled,"$56,265 - $121,338  Annually"
Special Education Teacher Mild/Mod Support Needs at Big Bear Middle School,https://www.edjoin.org/Home/JobPosting/2077822,"Bear Valley Unified - Big Bear Lake, San Bernardino County, CA",Until Filled,"$64,526.00 - $127,992.00  Annually"
English/History Teacher - Aspire Public Schools,https://www.edjoin.org/Home/JobPosting/2044410,"Aspire Public Schools - San Joaquin County - Stockton, San Joaquin County, CA",Until Filled,Pay dependent on experience
Music/VAPA Teacher - Aspire River Oaks Charter Schools,https://www.edjoin.org/Home/JobPosting/2053964,"Aspire Public Schools - San Joaquin County - Stockton, San Joaquin County, CA",Until Filled,"$68,640 - $114,245  Annually"
Art Teacher - Los Arboles Middle School - 25/26 School year,https://www.edjoin.org/Home/JobPosting/2077838,"Monterey Peninsula Unified School District - Monterey, Monterey County, CA",Until Filled,Pay dependent on experience
