title,link,address,deadline,salary
Multi-Subject TK - 6th Grade Teacher - The Journey School (applicant pool 25-26 SY),https://www.edjoin.org/Home/JobPosting/2035376,"REAL Journey Academies (K-12 Public Charter Schools) - Ontario, San Bernardino County, CA",Continuous,Pay dependent on experience
Physical Education Teacher - Middle School/K8,https://www.edjoin.org/Home/JobPosting/2077872,"Irvine Unified School District - Irvine, Orange County, CA",5/3/2025 11:55 am,Pay dependent on experience
25/26 3rd-5th Science Teacher (Cox),https://www.edjoin.org/Home/JobPosting/2069956,"Education for Change Public Schools - EFC - Oakland, Alameda County, CA",7/2/2025 11:55 am,"$63,125.00 - $105,670.00  Annually"
Social Studies Teacher,https://www.edjoin.org/Home/JobPosting/2023487,"Aspire Public Schools - Sacramento County - Sacramento, Sacramento County, CA",Until Filled,"$66,560 - $114,206  Annually"
25/26 Kindergarten Teacher (LWL),https://www.edjoin.org/Home/JobPosting/2055435,"Education for Change Public Schools - EFC - Oakland, Alameda County, CA",5/2/2025 11:55 am,"$63,125.00 - $105,670.00  Annually"
"Secondary School Teacher, Math (25-26) - Lost Hills, CA",https://www.edjoin.org/Home/JobPosting/2055994,"Wonderful College Prep Academy - Kern - Delano, Kern County, CA",Until Filled,"$68,969.69 - $113,824.10  Annually"
"Primary School Teacher, TK (2025 - 2026) - Delano, CA",https://www.edjoin.org/Home/JobPosting/2070477,"Wonderful College Prep Academy - Kern - Delano, Kern County, CA",Until Filled,"$66,745.12 - $110,152.35  Annually"
Elementary Advising Teacher,https://www.edjoin.org/Home/JobPosting/2078005,"Western Sierra Charter Schools - Oakhurst, Madera County, CA",5/6/2025 11:55 am,"$57,311 - $70,994  Annually"
6-8 Female P.E./Dance Teacher,https://www.edjoin.org/Home/JobPosting/2077547,"Paramount Unified School District - Paramount, Los Angeles County, CA",5/6/2025 11:55 am,"$73,292 - $138,335  Annually"
2025 - 2026 2nd Grade Elementary Teacher,https://www.edjoin.org/Home/JobPosting/2077979,"Wilsona Elementary - Palmdale, Los Angeles County, CA",5/10/2025 03:00 am,Pay dependent on experience
"Teacher Eligibility Pool: Single Subject Science, Biology (2025-26)",https://www.edjoin.org/Home/JobPosting/1517396,"Oakland Unified School District - Oakland, Alameda County, CA",Continuous,"$62,695.25 - $109,878.22   Annually"
Elementary Advising Teacher,https://www.edjoin.org/Home/JobPosting/2078005,"Western Sierra Charter Schools - Oakhurst, Madera County, CA",5/6/2025 11:55 am,"$57,311 - $70,994  Annually"
"Teacher: Prep, Instructional Technology/Intervention (0.4 FTE) - Carl B Munck Elementary School -(2024-25)",https://www.edjoin.org/Home/JobPosting/2007684,"Oakland Unified School District - Oakland, Alameda County, CA",Continuous,"$62,695.25 - $109,878.22  Annually"
"Teacher Eligibility Pool: Elementary School, Bilingual Spanish Multiple Subjects (2025-26)",https://www.edjoin.org/Home/JobPosting/2023890,"Oakland Unified School District - Oakland, Alameda County, CA",Continuous,"$62,695.25 - $109,878.22   Annually"
25-26 Elementary School Teacher,https://www.edjoin.org/Home/JobPosting/2070241,"Watts Learning Center - Los Angeles, Los Angeles County, CA",7/12/2025 11:55 am,"$61,000 - $126,000  Annually"
Teacher: Biology - Castlemont High School (2025-26),https://www.edjoin.org/Home/JobPosting/2064733,"Oakland Unified School District - Oakland, Alameda County, CA",Continuous,"$62,695.25 - $109,878.22   Annually"
Teacher: Performing Arts - Castlemont High School (2025-26),https://www.edjoin.org/Home/JobPosting/2064738,"Oakland Unified School District - Oakland, Alameda County, CA",Continuous,"$62,695.25 - $109,878.22   Annually"
Teacher: Social Science - McClymonds High School (2025-26),https://www.edjoin.org/Home/JobPosting/2064925,"Oakland Unified School District - Oakland, Alameda County, CA",Continuous,"$62,695.25 - $109,878.22   Annually"
Teacher: Computer Science - Elmhurst United Middle School (2025-26),https://www.edjoin.org/Home/JobPosting/2075777,"Oakland Unified School District - Oakland, Alameda County, CA",Continuous,"$62,695.25 - $109,878.22   Annually"
Teacher: English - Montera Middle School (2025-26),https://www.edjoin.org/Home/JobPosting/2075783,"Oakland Unified School District - Oakland, Alameda County, CA",Continuous,"$62,695.25 - $109,878.22   Annually"
"Teacher: Special Education, Mild/Moderate RSP - Edna Brewer Middle School (2025-26)",https://www.edjoin.org/Home/JobPosting/2075788,"Oakland Unified School District - Oakland, Alameda County, CA",Continuous,"$62,695.25 - $109,878.22   Annually"
Teacher: Math - Edna Brewer Middle School (2025-26),https://www.edjoin.org/Home/JobPosting/2075789,"Oakland Unified School District - Oakland, Alameda County, CA",Continuous,"$62,695.25 - $109,878.22   Annually"
"Teacher: Special Education, Mild/Moderate SDC; 3rd - 5th Grade - Allendale Elementary (2025-26)",https://www.edjoin.org/Home/JobPosting/2075800,"Oakland Unified School District - Oakland, Alameda County, CA",Continuous,"$62,695.25 - $109,878.22   Annually"
Teacher: Newcomer Math: 6th Grade - Westlake Middle School (2025-26),https://www.edjoin.org/Home/JobPosting/2076173,"Oakland Unified School District - Oakland, Alameda County, CA",Continuous,"$62,695.25 - $109,878.22  Annually"
Teacher Librarian Eligibility Pool (2025-26),https://www.edjoin.org/Home/JobPosting/1897087,"Oakland Unified School District - Oakland, Alameda County, CA",Until Filled,"63,286.15 - 112,977.38  Annually"
Teacher: Tk-5th Grade - Acorn Woodland Elementary (2025-26),https://www.edjoin.org/Home/JobPosting/2055545,"Oakland Unified School District - Oakland, Alameda County, CA",Until Filled,"$62,695.25 - $109,878.22   Annually"
English Teacher - De Anza High School - Starting School Year 2025-2026,https://www.edjoin.org/Home/JobPosting/2077989,"West Contra Costa Unified School District - Richmond, Contra Costa County, CA",Until Filled,"$58,572.72 - $119,756.51  Annually"
English Teacher - Richmond High School - Starting School Year 2025-2026,https://www.edjoin.org/Home/JobPosting/2078009,"West Contra Costa Unified School District - Richmond, Contra Costa County, CA",Until Filled,"$58,572.72 - $119,756.51  Annually"
2025-26 English Teacher (9-12),https://www.edjoin.org/Home/JobPosting/2077851,"Garden Grove Unified School District - Garden Grove, Orange County, CA",5/10/2025 05:00 am,"$72,504.00 - $141,634.00  Annually"
Art Teacher - Heron School,https://www.edjoin.org/Home/JobPosting/2078273,"Natomas Unified School District - Sacramento, Sacramento County, CA",Until Filled,"$56,265 - $121,338  Annually"
Art Teacher - Heron School,https://www.edjoin.org/Home/JobPosting/2078273,"Natomas Unified School District - Sacramento, Sacramento County, CA",Until Filled,"$56,265 - $121,338  Annually"
Learning Center Teacher (Mild/Moderate) - CR#2 SHORT TERM TEMP POSITION,https://www.edjoin.org/Home/JobPosting/2073932,"Belmont-Redwood Shores Elementary - Belmont, San Mateo County, CA",Until Filled,"$69,896 - $118,494  Annually"
"Visual and Performing Arts Teacher (Music, Drama, or Art)",https://www.edjoin.org/Home/JobPosting/2069176,"River Delta Unified School District - RIO VISTA, Sacramento County, CA",Until Filled,"$61,629.00 - $109,766.00  Annually"
Cabrillo School - Pacifica Project Pipeline Career & Technical Education (CTE) Elective Teacher,https://www.edjoin.org/Home/JobPosting/2077610,"Pacifica School District - Pacifica, San Mateo County, CA",Until Filled,"$56,940 - $97,453  Annually"
"Teacher's Aide: Assistant Classroom Educator (ACE), Santa Ana Student Center",https://www.edjoin.org/Home/JobPosting/2077622,"Springs Charter Schools - , Orange County, CA",5/19/2025 11:59 am,$18.85 - $20.00  Per Hour
Special Education Teacher(Mild to Moderate Support Needs) - High School (2025-26 School Year),https://www.edjoin.org/Home/JobPosting/2071543,"Synergy Academies - LOS ANGELES, Los Angeles County, CA",7/1/2025 11:55 am,"$68,850 - $105,790  Annually"
Paraprofessional / Teacher's Assistant,https://www.edjoin.org/Home/JobPosting/2001765,"Environmental Charter Schools - , Los Angeles County, CA",Until Filled,$19 - $24.48  Per Hour
"Transitional Kindergarten Teacher - Aspire Public Schools, Stockton",https://www.edjoin.org/Home/JobPosting/2023491,"Aspire Public Schools - San Joaquin County - Stockton, San Joaquin County, CA",Until Filled,"$66,560 - $114,245  Annually"
Multi-Subject TK - 5th Grade Teacher- iEmpire Academy (applicant pool 25-26 SY),https://www.edjoin.org/Home/JobPosting/2019935,"REAL Journey Academies (K-12 Public Charter Schools) - Ontario, San Bernardino County, CA",Continuous,Pay dependent on experience
Elementary Teacher- Aspire Public Schools (Modesto),https://www.edjoin.org/Home/JobPosting/991542,"Aspire Public Schools - Stanislaus County - Modesto, Stanislaus County, CA",Until Filled,Pay dependent on experience
Math/Science Teacher- Aspire Public Schools (Modesto),https://www.edjoin.org/Home/JobPosting/1251594,"Aspire Public Schools - Stanislaus County - Modesto, Stanislaus County, CA",Until Filled,"$66,560 - $114,206  Annually"
25/26 High School Math Teacher (Latitude),https://www.edjoin.org/Home/JobPosting/2063059,"Education for Change Public Schools - EFC - Oakland, Alameda County, CA",7/2/2025 11:55 am,"$67,125.00 - $110,169.00   Annually"
Credentialed Teacher - Intervention Specialist - 2025/26 SY,https://www.edjoin.org/Home/JobPosting/2077874,"Visions In Education Charter School - Sacramento - Carmichael, Sacramento County, CA",5/9/2025 11:55 am,"$65,259 - $118,103  Annually"
Transitional Kindergarten Teacher - Bannon Creek School,https://www.edjoin.org/Home/JobPosting/2077922,"Natomas Unified School District - Sacramento, Sacramento County, CA",Until Filled,"$56,265 - $121,338  Annually"
2025 - 2026 5th Grade Elementary Teacher,https://www.edjoin.org/Home/JobPosting/2077997,"Wilsona Elementary - Palmdale, Los Angeles County, CA",5/10/2025 03:00 am,Pay dependent on experience
"Teacher (TK-8th Grade, PE) @ Gateway International School",https://www.edjoin.org/Home/JobPosting/2078048,"Gateway Community Charters - McClellan , Sacramento County, CA",Until Filled,"$60,000 - $108,110  Annually"
Elementary 5th Grade Teacher 1.0 FTE Marshall 2025/2026,https://www.edjoin.org/Home/JobPosting/2078007,"Castro Valley Unified School District - Castro Valley, Alameda County, CA",Until Filled,"$70,374 - $141,339  Annually"
"Teacher Eligibility Pool: Special Education, Early Childhood Education - Burbank Childhood Development Center (2025-26)",https://www.edjoin.org/Home/JobPosting/1701756,"Oakland Unified School District - Oakland, Alameda County, CA",Continuous,"$62,695.25 - $109,878.22   Annually"
Teacher Pool - Various Sites - 2025/2026 SY,https://www.edjoin.org/Home/JobPosting/2077945,"Mountain Empire Unified - Pine Valley, San Diego County, CA",Until Filled,Pay dependent on experience
"TK Teacher- SCVi, Santa Clarita (25/26 School Year)",https://www.edjoin.org/Home/JobPosting/2078096,"iLEAD Charter Schools - Castaic, Lancaster and/or SFValley, Los Angeles County, CA",5/6/2025 04:30 am,"$62,920 - $82,000.00  Annually"
"Teacher: Special Education, Social Science Mild/Moderate SDC - Fremont High School (2025-26)",https://www.edjoin.org/Home/JobPosting/2064938,"Oakland Unified School District - Oakland, Alameda County, CA",Continuous,"$62,695.25 - $109,878.22   Annually"
Teacher: Credit Recovery Intervention - Sojourner Truth Academy Independent Study (2025-26),https://www.edjoin.org/Home/JobPosting/2062915,"Oakland Unified School District - Oakland, Alameda County, CA",Continuous,"$62,695.25 - $109,878.22   Annually"
Teacher for Students with Extensive Support Needs - Center High School,https://www.edjoin.org/Home/JobPosting/2078103,"Sacramento County Office Of Education - Sacramento, Sacramento County, CA",Until Filled,"$67,064 - $113,070  Annually"
Middle School Social Science Teacher,https://www.edjoin.org/Home/JobPosting/2078166,"Guajome Park Academy - Vista, San Diego County, CA",Until Filled,Pay dependent on experience
"Teacher: Special Education, Mild/Moderate RSP - Urban Promise Academy Middle School (2025-26)",https://www.edjoin.org/Home/JobPosting/2075799,"Oakland Unified School District - Oakland, Alameda County, CA",Continuous,"$62,695.25 - $109,878.22   Annually"
"Teacher: Math, 7th/8th Grade - Westlake Middle School (2025-26)",https://www.edjoin.org/Home/JobPosting/2076169,"Oakland Unified School District - Oakland, Alameda County, CA",Continuous,"$62,695.25 - $109,878.22  Annually"
"Teacher: Special Education, Mild/Moderate Self-Contained Program - McClymonds High School (2025-26)",https://www.edjoin.org/Home/JobPosting/2072222,"Oakland Unified School District - Oakland, Alameda County, CA",Continuous,"$62,695.25 - $109,878.22   Annually"
Teacher: Spanish - McClymonds High School (2025-26),https://www.edjoin.org/Home/JobPosting/2072228,"Oakland Unified School District - Oakland, Alameda County, CA",Continuous,"$62,695.25 - $109,878.22   Annually"
"Teacher: History, 7th/8th Grade - Westlake Middle School (2025-26)",https://www.edjoin.org/Home/JobPosting/2076198,"Oakland Unified School District - Oakland, Alameda County, CA",Continuous,"$62,695.25 - $109,878.22  Annually"
"Teacher: Math, Algebra 1 & Geometry - MetWest High School (2025-26)",https://www.edjoin.org/Home/JobPosting/2065617,"Oakland Unified School District - Oakland, Alameda County, CA",Continuous,"$62,695.25 - $109,878.22   Annually"
Classroom Teacher on Special Assignment (12 Months) - Talent Division (2025-26),https://www.edjoin.org/Home/JobPosting/2051376,"Oakland Unified School District - Oakland, Alameda County, CA",Until Filled,"68,762.98 - 120,511.60  Annually"
"21129 - PCN156 Teacher: Special Education, Mild/Moderate RSP; 0.8 FTE - Glenview Elementary (2025-26)",https://www.edjoin.org/Home/JobPosting/2075927,"Oakland Unified School District - Oakland, Alameda County, CA",Until Filled,"$62,695.25 - $109,878.22  Annually"
Teacher: 1st Grade - Chabot Elementary (2025-26),https://www.edjoin.org/Home/JobPosting/2059264,"Oakland Unified School District - Oakland, Alameda County, CA",Until Filled,"$62,695.25 - $109,878.22  Annually"
Music Teacher (General Music Emphasis),https://www.edjoin.org/Home/JobPosting/2078258,"Newhall School District - Valencia, Los Angeles County, CA",Until Filled,"$61,406 - $111,288  Annually"
Middle School Physical Education (PE) Teacher,https://www.edjoin.org/Home/JobPosting/1780705,"AIMS K12 College Prep Charter District - Oakland, Alameda County, CA",Until Filled,61882.00 - 68189.00  Bi-weekly
Special Education Teacher (Mild to Moderate Support Needs) - Elementary (2025-26 School Year),https://www.edjoin.org/Home/JobPosting/2071545,"Synergy Academies - LOS ANGELES, Los Angeles County, CA",7/1/2025 11:55 am,"$68,850 - $105,790  Annually"
2024-2025 school year - Middle School ELD Teacher/ELD Teacher on Special Assignment (Abbott),https://www.edjoin.org/Home/JobPosting/2077692,"San Mateo-Foster City School District - Foster City, San Mateo County, CA",Until Filled,"$68,577 - $116,011  Annually"
Spanish Teacher - Center High School,https://www.edjoin.org/Home/JobPosting/2077664,"Center Joint Unified School District - Antelope, Sacramento County, CA",5/9/2025 11:55 am,"$61,000 - $113,593  Annually"
Science Teacher @ Riverbend School,https://www.edjoin.org/Home/JobPosting/1974658,"Yuba City Unified School District - Yuba City, Sutter County, CA",Until Filled,Pay dependent on experience
English Teacher 2025/2026 - 1.0 FTE (#7913),https://www.edjoin.org/Home/JobPosting/2077755,"Livermore Valley Joint Unified School District - Livermore, Alameda County, CA",5/3/2025 11:55 am,Pay dependent on experience
English Teacher 2025/2026 - 1.0 FTE (#7913),https://www.edjoin.org/Home/JobPosting/2077755,"Livermore Valley Joint Unified School District - Livermore, Alameda County, CA",5/3/2025 11:55 am,Pay dependent on experience
Elementary Kindergarten Teacher 25-26 SY,https://www.edjoin.org/Home/JobPosting/2077779,"Amethod Public Schools - Richmond, Alameda County, CA",8/1/2025 11:55 am,"$65,000 - $94,500  Annually"
Transitional- Kindergarten Elementary Teacher 25-26 SY,https://www.edjoin.org/Home/JobPosting/2077774,"Amethod Public Schools - Richmond, Alameda County, CA",8/1/2025 11:55 am,"$65,000 - $94,500  Annually"
"2025-26 School Year Elective Teacher (Art, Music, Computer Science, Drama/Theater, and/or Foreign Language) at GPS!",https://www.edjoin.org/Home/JobPosting/2077858,"Growth Public Schools - Sacramento, Sacramento County, CA",Until Filled,"$62,920 - $86,570  Annually"
"Physical Education Teacher - 60%; Solis Park MS (Temporary employees, classified employees, substitutes and all others may apply on a separate EdJoin posting for general district positions by subject/credential area - if posted.)",https://www.edjoin.org/Home/JobPosting/2077868,"Irvine Unified School District - Irvine, Orange County, CA",5/3/2025 11:55 am,Pay dependent on experience
